Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,Eval mean final landed,Eval mean any landed,Eval average final y,policy loss,timesteps,epoch time (s),total time (s),Conditional loss,Marginal loss,Validation loss,Conditional Validation loss,Marginal Validation loss
50,0.09790014637456684,0.6,0.09790014637456684,0.04911084993223554,0.2,0.34,0.039537705,1.6726051255575207,0.7447003256845247,0.927904808584699,1.846134290098544,0.8198337585418892,1.0263005369497984,150000,34.199187994003296,2513.0009310245514
50,0.09088829267176714,0.7,0.09088829267176714,0.05201892030930086,0.16,0.46,0.011858463,1.6502349683161799,0.7335997215408533,0.9166352366860366,1.845767470245918,0.8042118946280511,1.0415555979685023,152000,33.276384115219116,2546.277319908142
50,0.07572904742789624,0.74,0.07572904742789624,0.054535862342778046,0.24,0.5,-0.00063494564,1.6692413495975145,0.7382744829497425,0.9309668593185995,1.8847374513163009,0.8236148275302828,1.0611226355551564,154000,32.06833457946777,2578.3456592559814
50,0.07570452803240507,0.74,0.07570452803240507,0.0510575318162675,0.14,0.52,-0.006097054,1.6538610207372537,0.7323863656787124,0.9214746430819987,1.8940687199372386,0.8271689382773539,1.0668997600874377,156000,33.92234563827515,2612.2680099010468
50,0.08242088317824903,0.76,0.08242088317824903,0.04373601108273483,0.18,0.5,0.023985391,1.6981139377042394,0.7556352079636554,0.9424786997538106,1.9040019080233064,0.8439269018646496,1.0600750091570648,158000,33.64174699783325,2645.9097616672516
50,0.08661962802395344,0.72,0.08661962802395344,0.043898841844821665,0.32,0.44,0.029154975,1.6652059679454156,0.7377960869094541,0.9274098934524284,1.8454111664969222,0.8177403716700913,1.0276707889781065,160000,33.68078899383545,2679.5905554294586
50,0.10752488829783502,0.66,0.10752488829783502,0.04690596524130311,0.16,0.5,0.038118467,1.639744692070434,0.7196312071060186,0.920113468485201,1.8764426001960108,0.8268388015145794,1.0496038368482798,162000,33.13336133956909,2712.7239224910736
50,0.07114264710549564,0.74,0.07114264710549564,0.04742556288049396,0.12,0.36,0.010144715,1.6394265348107262,0.7196440804776572,0.9197824537498475,1.8766763179017585,0.832670202744725,1.0440061302829173,164000,35.59413456916809,2748.3180623054504
50,0.0761759338860363,0.74,0.0761759338860363,0.04665404803189116,0.2,0.46,0.009895215,1.6491248245838128,0.7337935787599713,0.9153312333974325,1.8462983702574585,0.8108526333177989,1.0354457568819413,166000,33.69470000267029,2782.012767791748
50,0.09869486525599308,0.6,0.09869486525599308,0.06095192899263549,0.18,0.46,0.034370825,1.606073584230858,0.7008216301048811,0.9052519290448401,1.8732125347996689,0.8317560419133743,1.0414564845154184,168000,32.798492670059204,2814.811265230179
50,0.08660116610004275,0.74,0.08660116610004275,0.04558357645669822,0.18,0.62,0.008861604,1.6471587358964486,0.7277019538302881,0.9194567684198074,1.829601816724831,0.8032831351124146,1.0263186570650782,170000,32.17278528213501,2846.9840548038483
50,0.07051615984885584,0.84,0.07051615984885584,0.042266661976842076,0.18,0.44,0.009543823,1.644099158198827,0.7331726742207367,0.9109264893027548,1.8114605355979307,0.7943247763141803,1.0171357562202217,172000,31.367632627487183,2878.3516924381256
50,0.08331199206087585,0.72,0.08331199206087585,0.04553335827700687,0.32,0.6,0.00033440246,1.6335168716591644,0.7340968069896664,0.8994200310338497,1.803767677996505,0.7949863640198025,1.00878134945459,174000,32.2687873840332,2910.6204845905304
50,0.09522134038317898,0.74,0.09522134038317898,0.04492922803957476,0.2,0.56,0.035867866,1.6636639449835138,0.7343338408713199,0.929330092303058,1.8728099996444019,0.8259546538486932,1.0468553603767923,176000,30.68179202079773,2941.302281141281
50,0.07026724229169481,0.78,0.07026724229169481,0.04223392167598161,0.12,0.46,0.011553223,1.6322171270032761,0.7229152844903433,0.9093018575210489,1.8405889816412193,0.811194177898063,1.0293947695480838,178000,32.25704550743103,2973.559331178665
50,0.06859768768087333,0.76,0.06859768768087333,0.044036221721525985,0.18,0.48,0.005767018,1.6354827117309878,0.7249836020370115,0.91049910254844,1.8639820374527658,0.8235738507120818,1.040408208216762,180000,32.206722259521484,3005.7660582065582
50,0.08317918756222653,0.64,0.08317918756222653,0.05406301983329043,0.16,0.42,0.00041907676,1.6238490510711714,0.7154305522995045,0.9084185269762937,1.788145194694202,0.7848458305553242,1.003299381760957,182000,31.05152177810669,3036.817584514618
50,0.08451837279248883,0.88,0.08451837279248883,0.048535683126470566,0.36,0.58,0.010439439,1.6346121283225197,0.7193916594841171,0.9152204503387111,1.8222302189656077,0.7959809762528518,1.0262492720270608,184000,31.9272780418396,3068.744867324829
50,0.08318117130613908,0.74,0.08318117130613908,0.04398938823353608,0.26,0.52,0.019290062,1.6520240052564077,0.7259723796609089,0.9260516099721209,1.816915238405018,0.7967553007537531,1.0201599670743287,186000,31.57206130027771,3100.316933631897
50,0.06509021619294483,0.84,0.06509021619294483,0.04527111631467449,0.16,0.48,-0.007514323,1.6126986891681188,0.6989179111023158,0.9137808071648019,1.8152816484291345,0.7942784320468317,1.0210031951651977,188000,31.043710470199585,3131.360648870468
50,0.06719615961728992,0.76,0.06719615961728992,0.04932654910132729,0.26,0.54,-0.0041764746,1.6093468244622908,0.7016972211256449,0.9076495986470037,1.8305554106617348,0.8041509353546403,1.026404454919662,190000,31.760114431381226,3163.1207678318024
50,0.083774548686121,0.74,0.083774548686121,0.052413480099783735,0.3,0.56,0.023290303,1.6151795099165207,0.7137583920883761,0.9014211231760598,1.8001418687883597,0.7972516956022679,1.002890179613352,192000,30.880434036254883,3194.001206636429
50,0.08585906426026814,0.76,0.08585906426026814,0.051479021474756616,0.2,0.62,0.015073311,1.6137591787487682,0.7077675534348772,0.9059916167199936,1.8129739083498428,0.7927214042546553,1.0202525181391082,194000,31.814376831054688,3225.8155884742737
50,0.07163591489818484,0.86,0.07163591489818484,0.04761679368109554,0.26,0.46,0.009562931,1.605003975879024,0.70078778727816,0.9042161887974539,1.8118241242595077,0.810399800361684,1.0014243018647477,196000,32.05212330818176,3257.867716550827
50,0.06878331188675396,0.76,0.06878331188675396,0.04587487051847803,0.24,0.54,-0.0010117008,1.5900031734668811,0.699579316625457,0.89042387443104,1.8354788981139096,0.7972587619282845,1.0382201251244847,198000,30.517725944519043,3288.385447025299
50,0.06551480862957548,0.82,0.06551480862957548,0.04417275941656329,0.24,0.44,-0.010375789,1.596979853526132,0.7056759468934881,0.8913038996108889,1.834055285371657,0.8014067831313427,1.0326485167137047,200000,32.22392010688782,3320.6093714237213
