Eval num episodes,Eval avg final dist,Eval success ratio,Eval success ratio_left,Eval success ratio_right,Eval final door distance Mean,Eval final door distance Std,Eval final door distance Max,Eval final door distance Min,Eval min door distance Mean,Eval min door distance Std,Eval min door distance Max,Eval min door distance Min,policy loss,timesteps,epoch time (s),total time (s)
50,0.11047856444086988,0.4,0.34782608695652173,1.0,0.11047856444086988,0.10779106513287214,0.37607112959560884,0.0018595957659246487,0.007585644927954289,0.007474824296707995,0.02843575958515726,0.0001208412966551553,2.9902834565262704,230000,109.73865580558777,2527.6649186611176
50,0.0661683783698756,0.6,0.525,0.9,0.0661683783698756,0.08530622173406412,0.3852672300887765,0.0013343084282571027,0.013946161370638815,0.014651709047620632,0.056019413204251134,0.00010648174302207991,2.9793091029993697,240000,110.6251847743988,2638.2901084423065
50,0.05212911830406714,0.72,0.6585365853658537,1.0,0.05212911830406714,0.07455057933685183,0.3309804030323383,0.0015624221872061472,0.010314688538701716,0.010013939265590917,0.03411871668159629,7.523852230023609e-05,2.9936823091516396,250000,111.75256252288818,2750.0426754951477
50,0.1359775939824452,0.44,0.36363636363636365,1.0,0.1359775939824452,0.12229953702858788,0.32487474499203917,0.002347341434836392,0.022596416401652473,0.026617838346585158,0.08701122834498143,8.12816764891866e-06,2.981122020168665,260000,110.3972589969635,2860.4399383068085
50,0.15024485260605402,0.42,0.30952380952380953,1.0,0.15024485260605402,0.14279213590353404,0.3699791380762714,0.00016788643598658615,0.010974759502483708,0.012735528550548733,0.049440517799787274,1.0418830017400182e-05,2.9866639807234976,270000,109.65169024467468,2970.0916345119476
50,0.1086809578317738,0.56,0.475,0.9,0.1086809578317738,0.13064111511143517,0.37446281649451474,0.0002694676259618056,0.01593481094603373,0.015654416812807204,0.05065682325006444,1.0961207061122025e-05,2.9787020587487922,280000,111.18232536315918,3081.2739634513855
50,0.14745915894451922,0.52,0.4,1.0,0.14745915894451922,0.16430143528354302,0.4660455738498012,0.001687957551377961,0.010722262415458888,0.008629060879131257,0.040064435334999975,5.2104367573968524e-05,3.0049282954810828,290000,110.10919952392578,3191.3831725120544
50,0.1390003106033353,0.52,0.4418604651162791,1.0,0.1390003106033353,0.17844416780907607,0.586678035641842,0.0011359444895749915,0.006842173477444897,0.006217071944261431,0.03490881295320142,0.00020803418248163674,2.971012240684712,300000,109.6362202167511,3301.01939702034
50,0.12810706841024566,0.42,0.36363636363636365,0.8333333333333334,0.12810706841024566,0.13352145184640402,0.5650703902154193,0.00014876248521489277,0.013363699250957945,0.014598805291072405,0.05012479546131149,3.166344045713032e-05,2.982544250573216,310000,110.37187695503235,3411.391278028488
50,0.10647819044235891,0.54,0.43902439024390244,1.0,0.10647819044235891,0.13613220043436766,0.5972767264582634,0.0009730631864762196,0.014659470186485194,0.014517451274776525,0.05168326179948257,0.00014120173188986174,2.9774550361479712,320000,110.28750848770142,3521.678790330887
